SampleID	Helicobacter	Lactobacillus	Ligilactobacillus	Bacteroides	Bifidobacterium	Duncaniella	Paramuribaculum	Parabacteroides	Blautia	Phocaeicola	Parasutterella	Barnesiella	Prevotella	Limosilactobacillus	Muribaculum	Enterocloster	Clostridium	Anaerostipes	Escherichia	Akkermansia	Candidatus_Arthromitus	Turicimonas	Klebsiella	Desulfovibrio	Erysipelatoclostridium	Clostridioides	Alistipes	Adlercreutzia	Anaerotruncus	Faecalibaculum	Enterococcus	Odoribacter	Streptococcus	Dorea	Heminiphilus
A101E185	0	0.0012435	0.0698319	0.0270644	0.2791672	0.0575967	0	0.0266489	0.0005238	0	0.0302246	0.0257033	0	0	0.0177275	0.0006425	0.0014008	0.0006211	0	0.0146501	0	0.0062152	0	0.0001048	0.0033969	0	0.0030503	0	0	0	0.0000343	0	0.0001329	0	0
A104E185	0	0.0000747	0.0749242	0.0106161	0.1437752	0.0299741	0	0.0241357	0.0000795	0	0.0172469	0.0166136	0	0.0004334	0.0162462	0.0005852	0.0003341	0.0003709	0	0.0008393	0	0.0031148	0	0.002676	0.0004818	0	0.0017136	0	0	0	0	0	0.0003979	0	0
A13E185	0.0999382	0	0.1146245	0.0573559	0	0.1082989	0	0.0260294	0.065292	0.036106	0	0.0017917	0	0	0	0.0761628	0.0064683	0.014043	0.0002583	0.0002871	0	0.0147192	0.0036964	0	0.0004548	0	0	0.0003774	0	0	0.0038936	0	0.0000238	0	0
A21E145	0.0126962	0.0074284	0.0366353	0.0102161	0.0003807	0.1076672	0.0189627	0.0095778	0	0	0.0022423	0.0168923	0.0156845	0.0018508	0.0253552	0.0001707	0.0000095	0	0	0.0689433	0	0.0016081	0	0.0001404	0	0	0	0.0010229	0	0.0512213	0	0	0.0001085	0	0
A23E145	0.0123178	0	0.1258569	0.0472464	0	0.1682047	0	0.0898052	0.1219256	0.0519997	0	0.0116549	0	0	0.0004991	0	0.0527917	0.0540531	0.0051481	0	0	0.0197374	0.0112798	0	0.000479	0	0	0.0016463	0	0	0.006446	0	0.0000966	0	0
A31E145	0.0324684	0	0.2421987	0.1243653	0.0708373	0.0057144	0	0.0409542	0.0692161	0	0.0435471	0.0034958	0	0.0508564	0.0047697	0.0458133	0.0260223	0.0262695	0.0145358	0.0002422	0	0.0128757	0.0017042	0	0.0251706	0.0190006	0.0315544	0.0037863	0	0	0.0058229	0	0.000071	0	0
A32E145	0.1624274	0	0.000032	0.3360899	0	0.0101641	0	0.0459307	0	0.1547798	0.0187248	0	0.0026613	0.0009862	0.0061854	0	0.0009606	0	0.0278726	0	0	0.0004705	0.0406699	0	0	0.0007274	0.0247056	0	0	0	0.0027561	0	0	0	0
A33E185	0.0083172	0.0457101	0.0429573	0.0016624	0.0459291	0.018799	0.0304724	0.0004698	0	0	0.0042484	0.0031827	0.0194423	0.0058712	0.0150256	0	0	0	0	0.0152645	0.0052875	0.0042211	0	0.0001174	0.0005956	0	0.0006876	0.0020943	0.0009029	0.0019387	0	0.0071592	0.0007341	0.0002269	0.0133289
A34E185	0.0118257	0.0224423	0.0051483	0.0055083	0.0494916	0.0294766	0.0427847	0.002296	0.0007431	0	0.0083002	0.0021298	0.0242827	0.0050388	0.0238669	0	0	0	0	0.0061644	0.0004748	0.0118534	0	0.0001035	0	0	0.0014777	0.0020882	0.0006426	0.0028535	0	0.010363	0.0016616	0.0001903	0.0173439
A41E145	0.1006842	0	0.1742181	0.0722321	0.0765709	0.00725	0	0.0583851	0.0813041	0	0.0196189	0.0038461	0	0.0527282	0.0010157	0.0734245	0.0299893	0.0345928	0.0058466	0.0002244	0	0.002691	0	0	0.0313147	0.0148709	0.0125877	0.0023298	0	0	0.0016628	0	0.0006442	0	0
